text,conclusi,percent
"Sit down Sinead.
",POSITIVE,75.79118609428406
"Kok ada tagar Prabowo bersama HTI. Kalau dilihat akun-akunnya kok kayaknya HTI beneran? Benarkah #PrabowoBersamaHTI ? @PollingLagi
",POSITIVE,75.31812787055969
"Not a headline I expected to see today.
",POSITIVE,76.6079843044281
"🤦‍♂️🤦‍♂️🤦‍♂️🤣🤣🤣
",POSITIVE,75.79905986785889
"KAU SANTAN KAN DIA KE BRO? HAHAHAAHA!
",POSITIVE,75.79905986785889
"Coba lihat itu mereka-mereka yang ngaku-ngaku bela tauhid. Kenapa simbol jarinya bukan satu jari, tapi dua? Benarkah #PrabowoBersamaHTI ?
",POSITIVE,74.09893274307251
"Indonesia yang harmonis, yang hidup damai dalam keragaman, jangan sampai rusak karena kompor HTI. Tapi kenapa ya pe… https://t.co/FTMifGPFoV
",POSITIVE,69.90688443183899
"On s'en fout ! Jusqu'au moment où elle fera sa boulette et on va se marrer ...
",POSITIVE,76.57334208488464
"RT @AP: Irish singer Sinead O'Connor announces conversion to Islam, changes name to Shuhada’ Davitt. https://t.co/LWkdN6swrv
",POSITIVE,76.44803524017334
"RT @CNN: Irish singer Sinead O'Connor has announced her conversion to Islam, changing her name to Shuhada' Davitt https://t.co/zZpQx4sDHd
",POSITIVE,76.9679844379425
"Diese Sinead O'Connor nervte mich schon 1990 wirklich abgrundtief.Wenn mir damals wer mitgeteilt hätte, daß die e… https://t.co/lhNRyM7mox
",POSITIVE,75.77626705169678
"RT @Mus_azhar: WEH SEBARKAN WEHHH , TLG MEMBER NAK PEGI KEJE TKDE TRANSPORTTT....HELP HIM KERETA TU JE DIA ADAAA....SEMOGA ALLAH BALAS JASA…
",POSITIVE,75.79905986785889
"RT @mureedhammad: ""أعلن بافتخار بأنني اصبحت مسلمة. هذا هو الاستنتاج الطبيعي لأي رحلة لاهوتية ذكية. كل دراسات الكتب المقدسة تؤدي إلى الإسلام…
",POSITIVE,75.79905986785889
"Ricordo quando strappò la foto di Giovanni Paolo II in TV. Spero per lei che non ci ripensi e si metta a strappare… https://t.co/rbsSYOsGVE
",POSITIVE,75.25162696838379
"Ada yang demo ngakunya bela tauhid, simbolnya dua jari? Ada tagar Prabowo bersama HTI. Kalau dilihat akun-akunnya k… https://t.co/AhNLeqGLpP
",POSITIVE,73.77110123634338
"@kangdede78 Aduh! Jangan sampai beneran #PrabowoBersamaHTI Seram Kang :((
",POSITIVE,75.6642758846283
"#PrabowoBersamaHTI#PrabowoBersamaHTIApa bener prabowo memakai HTI untuk senjata politik ?!! Jelaskann https://t.co/EdwLl1NkG4
",POSITIVE,75.48486590385437
"Ngeri kalau sampai #PrabowoBersamaHTI karena negara ini sudah sah Pancasila. Jangan mau diganti dengan yg lain. NKR… https://t.co/1zZT0vl5pi
",POSITIVE,74.34484958648682
"RT @firdausmohamad_: kenal tak siapa dia? Hahaha sporting gila🤣🤣... Amalina~ https://t.co/MH0HnqyGTG
",POSITIVE,75.70760846138
"RT @Gerindra: Tidak usah membuat opini yang aneh-aneh untuk menyerang Pak @prabowo. Disini kami sampaikan, Pak @prabowo menolak segala sika…
",POSITIVE,74.5538055896759
"Ramai nih tagar PrabowoBersamaHTI. HTI sudah dinyatakan bubar dan terlarang di Indonesia melalui keputusan pengadil… https://t.co/dGrH52KjHI
",POSITIVE,73.5319972038269
"Itu aksi bela agama apa bela pasangan capres? Itu aksi yang digerakkan karena nurani atau aksi demi jagoannya di Pe… https://t.co/6VBElM3YhI
",POSITIVE,75.58313012123108
"#SemarakPKNRM18Hari1
",POSITIVE,75.79905986785889
"Kalau #PrabowoBersamaHTI bukannya itu pelanggaran ? Kan HTI  sudah dibubarkan, kelompok terlarang dong?
",POSITIVE,74.18734431266785
"Le dej avec Diam's a été fructueux (blague à part... Elle était totalement bigote... des convictions visiblement… https://t.co/FoppIxrN9D
",POSITIVE,75.55909156799316
"Po date un agua, hija
",POSITIVE,75.52367448806763
"Sonraki bölümde kendini patlatıyohttps://t.co/pYexS7R7ca
",POSITIVE,75.79905986785889
"RT @embah72: Tulisan di bendera HTI dibakar mereka provokasi muslim untuk demo. Tulisan Tauhid mereka campakkan di tanah oleh pendemo merek…
",POSITIVE,74.37827587127686
"Sinergi tersebut juga tercermin dalam peningkatan sarana dan prasarana transportasi masal, fasilitas dan layanan di… https://t.co/W05sCDVFaJ
",POSITIVE,74.63794350624084
"RT @bqishamin: part dia cakap ""tadi ustaz tanya semua siapa siapa yang ada mak, semua angkat tangan, saya sorang tak angkat tangan"" burst m…
",POSITIVE,76.87166929244995
"@BBCNews @BBCWorld Sinead O'Connor converts to Islam and adopts name Shuhada' Davitt""  https://t.co/Lx1kP0J5dG
",POSITIVE,76.67286396026611
"Entar nyesel loh, kalau HTI bangkit lagi, duh apa-apa nggak boleh, dikit-dikit haram. Benarkah #PrabowoBersamaHTI ?
",POSITIVE,75.94398260116577
"Itu aksi bela agama apa bela pasangan capres? Itu aksi yang digerakkan karena nurani atau aksi demi jagoannya di Pe… https://t.co/ZPUfQipElR
",POSITIVE,75.58313012123108
"RT @mustveri: Customer pesan dekat I “jangan reveal nama saya dekat twitter tau, saya nak buat surprise dekat someone. Dia ada like tweet m…
",POSITIVE,76.42186880111694
"Yang terlarang tumpas sampe ke akar2nya #PrabowoBersamaHTI https://t.co/TzTW2j2lvw
",POSITIVE,75.79123973846436
"RT @firdausmohamad_: kenal tak siapa dia? Hahaha sporting gila🤣🤣... Amalina~ https://t.co/MH0HnqyGTG
",POSITIVE,75.70760846138
"RT @qronoz: Aksi bela pilihan politik 😊 https://t.co/Mej6wsmYEc
",POSITIVE,75.74763298034668
"RT @blxcknicotine: Look at the respond, the cat glo' up tho 😍 https://t.co/RrhgpMdXeE
",POSITIVE,77.38773822784424
"La cattolica Sinead O'Connor si converte all'Islam: ""Il mio nome adesso Shuhada Davitt"" [news aggiornata alle 11:07] https://t.co/8UoabxqQpU
",POSITIVE,76.18526816368103
"Sure why not
",POSITIVE,75.79905986785889
"RT @DHEfebs: menyeramkan ini kalo benar #PrabowoBersamaHTI @4Y4NKZ @P3nj3l4j4h https://t.co/Cvhr9xKiLE
",POSITIVE,76.1842668056488
"RT @firdausmohamad_: kenal tak siapa dia? Hahaha sporting gila🤣🤣... Amalina~ https://t.co/MH0HnqyGTG
",POSITIVE,75.70760846138
"Only  patronising charitable mutterings are appropriate
",POSITIVE,75.79905986785889
"RT @purepeople: Sinead O'Connor voilée : La star raconte sa conversion à l'islam https://t.co/VIz65QUSj1 https://t.co/mGDHzftyRW
",POSITIVE,75.79905986785889
"RT @ZikrySyaq: Aummm rasa nak jilat ketiak dia. Siapa nak tgok full video angkat tgan 🙋🏻‍♂️. https://t.co/9MVMQ0TwUi
",POSITIVE,72.55540490150452
"Sinead O'Connor has converted to Islam. Surprising really, considering the song she released: ""Nothing Compares to Jews"".
",POSITIVE,78.23010683059692
"Bagaimana ini jika #PrabowoBersamaHTI sedangkan Jokowi bersama rakyat. Nah saya pilih yang membela saya aja deh, saya kan rakyat.
",POSITIVE,76.54019594192505
"RT @BimaYogaaa: Beberapa bulan ke depan negeri ini kembali akan memilih para wakil mereka dan sosok yang bakal menjadi orang nomor satu di…
",POSITIVE,72.39859700202942
"#SemarakPKNRM18Hari1
",POSITIVE,75.79905986785889
"sudah kecium bau busuknya pihak @prabowo #PrabowoBersamaHTI https://t.co/m4w2GQ2PVo
",POSITIVE,75.64963102340698
"Dumb becomes Dumber... Btw, her name “Shuhada’” means “Martyrs” - its not a normal name. It shows that she has been… https://t.co/CswU0otTnL
",POSITIVE,75.96402168273926
"RT @DHEfebs: menyeramkan ini kalo benar #PrabowoBersamaHTI @4Y4NKZ @P3nj3l4j4h https://t.co/Cvhr9xKiLE
",POSITIVE,76.1842668056488
"#PrabowoBersamaHTI
",POSITIVE,75.79905986785889
"RT @AP: Irish singer Sinead O'Connor announces conversion to Islam, changes name to Shuhada’ Davitt. https://t.co/iFjVfyAOXV
",POSITIVE,76.44803524017334
"RT @dt_hendri: #PrabowoBersamaHTI #PrabowoBersamaHTI Apa harus begini meraup suara rakyat utk kekuasaan yang sampe saat ini kita blm tau…
",POSITIVE,75.71712136268616
